nombre_farmacia,calle,numero,colonia,ciudad,codigo_postal,latitud,longitud
MINATITLAN 9,MINATITLAN,LOTE 9MANZANA 5,MIGUEL HIDALGO,MINATITLAN,96770,17.9814,-94.56896
MINI BODEGA ALVARO OBREGON,CIUDAD DE MEXICO,77,LAS AGUILAS,CIUDAD DE MEXICO,01710,19.35951,-99.20299
MINI BODEGA BENITO JUAREZ,CIUDAD DE MEXICO,997,DEL VALLE CENTRO,CIUDAD DE MEXICO,03100,19.38474,-99.16101
MINI BODEGA COYOACAN,CIUDAD DE MEXICO,LOCAL C 1,PUEBLO DE LOS REYES,CIUDAD DE MEXICO,04330,19.33541,-99.15437
MINI BODEGA CUAUHTEMOC,CIUDAD DE MEXICO,210,HIPODROMO,CIUDAD DE MEXICO,06100,19.41287,-99.16665
MINI BODEGA HUIXQUILUCAN,HUIXQUILUCAN DE DEGOLLADO,L.T. 26,SAN FERNANDO,HUIXQUILUCAN DE DEGOLLADO,52765,19.38621,-99.2813
MINI BODEGA IZTAPALAPA,CIUDAD DE MEXICO,16,NUEVA ROSITA,CIUDAD DE MEXICO,09420,19.3774,-99.10816
MINI BODEGA MEXIQUENSE,TULTITLAN DE MARIANO ESCOBEDO,6,EXHACIENDA LOS PORTALES,TULTITLAN DE MARIANO ESCOBEDO,54910,19.64074,-99.14269
MINI BODEGA MIGUEL HIDALGO,CIUDAD DE MEXICO,15,TACUBA,CIUDAD DE MEXICO,11410,19.45579,-99.18788
MINI BODEGA NAUCALPAN,NAUCALPAN DE JUAREZ,295,HACIENDA DE ECHEGARAY,NAUCALPAN DE JUAREZ,53300,19.49693,-99.22665
MINI BODEGA NEZAHUALCOYOTL,NEZAHUALCOYOTL,1,METROPOLITANA 1A SECC,NEZAHUALCOYOTL,57730,19.39174,-99.03795
MIRAMONTES 1,CIUDAD DE MEXICO,20,PRADOS DE COYOACAN,CIUDAD DE MEXICO,04810,19.32007,-99.13232
MIRAMONTES 2,CIUDAD DE MEXICO,3211,RESIDENCIAL ACOXPA,CIUDAD DE MEXICO,14300,19.29889,-99.12528
MISANTLA 1,MISANTLA,114,CENTRO,MISANTLA,93820,19.92723,-96.8547
MISANTLA 2,MISANTLA,S/N,MISANTLA,MISANTLA,93820,19.92942,-96.853
MISANTLA 3,MISANTLA,S/N,CENTRO,MISANTLA,93820,19.93271,-96.85043
MOCTEZUMA 1,CIUDAD DE MEXICO,82,MOCTEZUMA,CIUDAD DE MEXICO,15530,19.42932,-99.10371
MOCTEZUMA 2,CIUDAD DE MEXICO,237,MOCTEZUMA 2A SECCION,CIUDAD DE MEXICO,15530,19.43242,-99.09657
MOCTEZUMA 3,CIUDAD DE MEXICO,44,MOCTEZUMA 1A SECCION,CIUDAD DE MEXICO,15500,19.42827,-99.1078
MODERNA,CIUDAD DE MEXICO,212,MODERNA,CIUDAD DE MEXICO,03510,19.39128,-99.13255
MONTERREY 11,MONTERREY,6636,FOMERREY 51,MONTERREY,64109,25.75741,-100.3887
MONTERREY 12,MONTERREY,805,CONTRY,MONTERREY,64860,25.63717,-100.283
MONTERREY 13,MONTERREY,3538,MITRAS SUR,MONTERREY,64020,25.68788,-100.3511
MONTERREY 18,MONTERREY,101,BOSQUES DEL VALLE,MONTERREY,66250,25.65177,-100.3773
MONTERREY 2,MONTERREY,311,CENTRO,MONTERREY,64000,25.67788,-100.3141
MONTERREY 21,MONTERREY,2100,FRACCIONAMIENTO INDUSTRIAL,MONTERREY,64299,25.70491,-100.3333
MONTERREY 24,MONTERREY,3804,JARDIN DE LAS TORRES,MONTERREY,64754,25.63885,-100.3076
